Theta(deg),Phi(deg),rEPhi_Real,rEPhi_Imag,rETheta_Real,rETheta_Imag,rETotal,RealizedGain,RealizedGain_Total,RealizedGain_dB,RealizedGain_Theta,RealizedGain_Phi,Gain,Gain_Total,Gain_dB,Gain_Theta,Gain_Phi,Directivity,Directivity_Total,Directivity_dB,Directivity_Theta,Directivity_Phi
45.0,-120.0,0.09165658076578634,-0.022892600207049633,0.002642909172933562,-0.05023394575889356,0.1070300622130005,0.019091940573373874,0.019091940573373874,-17.19149926112622,0.004217291103448545,0.014874649469925335,1.8182800546070355,1.8182800546070355,2.5966077481743968,0.4016467717570042,1.4166332828500319,2.0310575078057314,2.0310575078057314,3.0772222028767917,0.4486479897285685,1.5824095180771633
45.0,-115.0,0.0910199384949995,-0.02190864679694659,0.010752772957265629,-0.05245508706099494,0.10785071299232989,0.019385837108829674,0.019385837108829674,-17.12515440780268,0.0047784845646443724,0.014607352544185291,1.8462702008409213,1.8462702008409213,2.6629526014979414,0.4550937680613688,1.3911764327795515,2.062323096684008,2.062323096684008,3.143567056200336,0.508349421770678,1.5539736749133293
45.0,-110.0,0.08957315898479411,-0.020579343392053653,0.018738333122261343,-0.05441763994429417,0.10844014409005064,0.01959831303195113,0.01959831303195113,-17.07781309890754,0.005520544383154987,0.014077768648796134,1.8665060030429645,1.8665060030429645,2.710293910393079,0.5257661317290465,1.3407398713139176,2.0849269182926733,2.0849269182926733,3.1909083650954733,0.587291955654786,1.4976349626378866
45.0,-105.0,0.08737812363939086,-0.018969176581227924,0.026529311233929095,-0.05607768900586508,0.1088268244032494,0.019738331165625303,0.019738331165625303,-17.04689568799005,0.006414034822458874,0.013324296343166429,1.879841063392886,1.879841063392886,2.7412113213105678,0.6108604592817976,1.2689806041110883,2.099822464428224,2.099822464428224,3.2218257760129627,0.6823441300488164,1.4174783343794075
45.0,-100.0,0.08450609165019674,-0.017148987532731093,0.034064736339537896,-0.057405898802195175,0.10904682837459934,0.01981821773167625,0.01981821773167625,-17.029354045481085,0.0074262308433457784,0.012391986888330472,1.8874493077786905,1.8874493077786905,2.7587529638195356,0.7072600803186455,1.1801892274600452,2.1083210352847077,2.1083210352847077,3.23936741852193,0.7900245578027425,1.3182964774819654
45.0,-95.0,0.08103389429508684,-0.01519211629597628,0.041293696689338466,-0.05838782635337376,0.10914027705077803,0.01985219909137497,0.01985219909137497,-17.02191378051987,0.008523645278210373,0.011328553813164598,1.8906856277499973,1.8906856277499973,2.7661932287807494,0.8117757407819403,1.0789098869680571,2.111936073550529,2.111936073550529,3.246807683483144,0.9067707742776993,1.2051652992728297
45.0,-90.0,0.07703985175343461,-0.013170589155023438,0.04817548780949694,-0.05902336060048932,0.10914778009258817,0.019854928734432724,0.019854928734432724,-17.021316674164247,0.009674163289240935,0.010180765445191786,1.8909455937554975,1.8909455937554975,2.7667903351363723,0.9213488846896128,0.9695967090658845,2.1122264611098642,2.1122264611098642,3.247404789838766,1.029166307366057,1.0830601537438072
45.0,-85.0,0.07259971817110976,-0.011151639934035104,0.05467905100935297,-0.05932544782516919,0.10910722034165854,0.019840175134586236,0.019840175134586236,-17.024544985301922,0.010848590048613615,0.008991585085972621,1.8895404890082126,1.8895404890082126,2.763562023998694,1.0331990522489156,0.8563414367592973,2.1106569292113018,2.1106569292113018,3.244176478701089,1.1541053243205974,0.9565516048907045
45.0,-80.0,0.06778299470467872,-0.009194801427010565,0.060781687814317406,-0.05931829919334811,0.10905114826156286,0.019819787959026516,0.019819787959026516,-17.029009961028788,0.01202150710543101,0.0077982808535955045,1.8875988532406207,1.8875988532406207,2.7590970482718324,1.144905438612477,0.7426934146281433,2.108488080747502,2.108488080747502,3.239711502974227,1.2788837346203201,0.8296043461271814
45.0,-75.0,0.06264993873454112,-0.007349720738602208,0.06646715605572004,-0.05903528346179184,0.10900495743738792,0.01980300136910568,0.01980300136910568,-17.032689825032502,0.013171435572159497,0.006631565796946181,1.8860001303910172,1.8860001303910172,2.7554171842681185,1.2544224354437616,0.6315776949472554,2.106702273309115,2.106702273309115,3.236031638970513,1.4012165502297338,0.705485723079381
45.0,-70.0,0.05724953939769306,-0.0056547603796374,0.07172336798275605,-0.058516686978124094,0.10898591764941339,0.01979608403200182,0.01979608403200182,-17.034207113289945,0.014280403849431593,0.005515680182570233,1.8853413363811256,1.8853413363811256,2.753899896010676,1.3600384618506278,0.5253028745304983,2.105966386383172,2.105966386383172,3.2345143507130696,1.5191918988757016,0.5867744875074715
45.0,-65.0,0.05161863664713321,-0.0041363662006749175,0.07653998557089706,-0.057807481004436334,0.10900306154382199,0.019802312518666862,0.019802312518666862,-17.032840897661448,0.015333095851604688,0.004469216667062178,1.8859345255873203,1.8859345255873203,2.7552661116391715,1.4602948430099703,0.4256396825773503,2.1066289913475384,2.1066289913475384,3.235880566341565,1.6311804097451796,0.47544858160235937
45.0,-60.0,0.04578225234513303,-0.0028091303095936987,0.08090622245142234,-0.0569551844807896,0.10905785489128939,0.019822225862132014,0.019822225862132014,-17.028475796507156,0.0163157987322291,0.0035064271299029043,1.887831034488763,1.887831034488763,2.759631212793465,1.5538855935456288,0.3339454409431338,2.1087474321417035,2.1087474321417035,3.2402456674958593,1.735723269386075,0.3730241627556281
45.0,-55.0,0.03975509565714408,-0.001676458344560353,0.0848091154816391,-0.056007863596287386,0.1091455221101079,0.0198541072496996,0.0198541072496996,-17.021496364392313,0.01721537251041669,0.0026387347392829072,1.8908673571142478,1.8908673571142478,2.7666106449083063,1.6395592867063515,0.2513080704078959,2.112139069116979,2.112139069116979,3.2472250996107,1.8314226074911377,0.2807164616258412
45.0,-50.0,0.03354411151867268,-0.0007317587675624761,0.08823244057807858,-0.05501228257158666,0.10925684277230109,0.01989462745488572,0.01989462745488572,-17.012641890032555,0.018018433508863643,0.001876193946022078,1.8947264242748307,1.8947264242748307,2.7754651192680657,1.7160412865584425,0.17868513771638836,2.116449729243162,2.116449729243162,3.25607957397046,1.9168546286025157,0.19959510064064662
45.0,-45.0,0.02715186111221862,3.991131891360397e-05,0.09115634524838505,-0.054012221251146186,0.10938018320653942,0.01993957103893028,0.01993957103893028,-17.00284188924534,0.018710891394225302,0.0012286796447049735,1.8990067656124074,1.8990067656124074,2.7852651200552785,1.7819896565928857,0.11701710901952128,2.1212309615883274,2.1212309615883274,3.265879574757673,1.990520361087798,0.1307106005005291
45.0,-40.0,0.020580453126842896,0.0006598063938992437,0.09355768039038456,-0.0530470014432924,0.10950348997880215,0.019984553044597467,0.019984553044597467,-16.993055603103365,0.019277919033281937,0.0007066340113155299,1.9032907661521392,1.9032907661521392,2.795051406197255,1.835992288883994,0.06729847726814571,2.126016281340156,2.126016281340156,3.2756658608996503,2.0508424503491423,0.07517383099101384
45.0,-35.0,0.013835682161907668,0.001153147971277169,0.0954109515620531,-0.05215030000639252,0.10961596288799447,0.020025627080804645,0.020025627080804645,-16.984138755698602,0.019704374897333402,0.00032125218347123864,1.907202579124252,1.907202579124252,2.8039682536020187,1.8766071330793717,0.030595446044879876,2.130385859660069,2.130385859660069,3.2845827083044132,2.0962100954610006,0.03417576419906795
45.0,-30.0,0.006930981001772278,0.0015466204008597335,0.09668977628845636,-0.05134934971287193,0.10970915680542732,0.02005969255674566,0.02005969255674566,-16.976757274438185,0.019975643649676297,8.404890706936433e-05,1.9104469101662531,1.9104469101662531,2.811349734862433,1.9024422523501234,0.008004657816129938,2.134009846462304,2.134009846462304,3.2919641895648266,2.125068473369819,0.008941373092485569
45.0,-25.0,-0.00010923129542886209,0.0018659186753363537,0.09736871914502154,-0.05066461888007712,0.10977734127853718,0.02008463458784497,0.02008463458784497,-16.971360652480264,0.020078812085053077,5.82250279189237e-06,1.9128223416995211,1.9128223416995211,2.816746356820353,1.9122678176241026,0.0005545240754183209,2.136663254026061,2.136663254026061,3.297360811522748,2.136043838835434,0.0006194151906268479
45.0,-20.0,-0.007247208431938679,0.0021336067494297003,0.09742536596295764,-0.05011001067982236,0.10981707249405856,0.0200991755002424,0.0200991755002424,-16.968217576560967,0.02000405389485929,9.512160538310856e-05,1.914207190499276,1.914207190499276,2.819889432739652,1.9051479899865988,0.009059200512677005,2.1382101596002556,2.1382101596002556,3.3005038874420474,2.1280908398786478,0.010119319721607295
45.0,-15.0,-0.014430878646322674,0.0023675437972193957,0.0968424815152018,-0.04969354402960455,0.10982609009876064,0.02010247651449979,0.02010247651449979,-16.967504365930036,0.019746059041144837,0.0003564174733549545,1.9145215728095037,1.9145215728095037,2.820602643370581,1.8805770515376035,0.03394452127190043,2.138561331329765,2.138561331329765,3.3012170980729754,2.1006445788451957,0.03791675248456963
45.0,-10.0,-0.02159440094526281,0.0025800746915623967,0.09561006998315397,-0.049418395238064045,0.10980181331693899,0.02009359029269584,0.02009359029269584,-16.96942457229043,0.01930531730102873,0.000788272991667112,1.9136752659710325,1.9136752659710325,2.8186824370101906,1.838601647717022,0.07507361825401067,2.137615988584664,2.137615988584664,3.2992968917125847,2.0537571596839075,0.0838588289007566
45.0,-5.0,-0.02866031416726505,0.002778070556198985,0.093727134544889,-0.049284121008719664,0.10973983605682762,0.02007091317710061,0.02007091317710061,-16.9743286773405,0.01868906025866759,0.0013818529184330178,1.9115155406762487,1.9115155406762487,2.813778331960117,1.7799105008254847,0.1316050398507636,2.1352035294787886,2.1352035294787886,3.2943927866625105,1.9881978998582543,0.14700562962053385
45.0,0.0,-0.03554311491829963,0.002963774849701859,0.09120292975624822,-0.04928786665429028,0.10963286539587215,0.020031803360375827,0.020031803360375827,-16.982799516447272,0.017911691675861163,0.002120111684514672,1.9077907962262692,1.9077907962262692,2.8053074928533484,1.705875397701063,0.20191539852520687,2.13104291067828,2.13104291067828,3.2859219475557433,1.9054991144533155,0.22554379622496512
