Phi[deg],Theta[deg],dB(GainTotal),Array_Data
96,-178,14.7807,
98,-178,14.783,
100,-178,14.7864,
102,-178,14.7906,
104,-178,14.7957,
106,-178,14.8015,
108,-178,14.8079,
110,-178,14.8148,
112,-178,14.822,
114,-178,14.8295,
116,-178,14.8371,
118,-178,14.8447,
120,-178,14.8522,
122,-178,14.8595,
124,-178,14.8664,
126,-178,14.8728,
128,-178,14.8787,
130,-178,14.8841,
132,-178,14.8887,
134,-178,14.8926,
136,-178,14.8958,
138,-178,14.8982,
140,-178,14.8998,
142,-178,14.9006,
144,-178,14.9006,
146,-178,14.8998,
148,-178,14.8983,
150,-178,14.8962,
152,-178,14.8934,
154,-178,14.89,
156,-178,14.8862,
158,-178,14.8819,
160,-178,14.8772,
162,-178,14.8723,
164,-178,14.8672,
166,-178,14.8619,
168,-178,14.8565,
170,-178,14.8511,
172,-178,14.8457,
174,-178,14.8404,
176,-178,14.8352,
178,-178,14.8302,
180,-178,14.8253,
-180,-176,5.52024,
-178,-176,5.53752,
-176,-176,5.56318,
-174,-176,5.59618,
-172,-176,5.63543,
-170,-176,5.67978,
-168,-176,5.72803,
-166,-176,5.77893,
-164,-176,5.83115,
-162,-176,5.88334,
-160,-176,5.93408,
-158,-176,5.98187,
-156,-176,6.02518,
-154,-176,6.06245,
-152,-176,6.09209,
-150,-176,6.11252,
-148,-176,6.12216,
-146,-176,6.11953,
-144,-176,6.10318,
-142,-176,6.0718,
-140,-176,6.02421,
-138,-176,5.95936,
-136,-176,5.87643,
-134,-176,5.77478,
-132,-176,5.65403,
-130,-176,5.51407,
-128,-176,5.35512,
-126,-176,5.17774,
-124,-176,4.98289,
-122,-176,4.77201,
-120,-176,4.54702,
-118,-176,4.3104,
-116,-176,4.06524,
-114,-176,3.81527,
-112,-176,3.56483,
-110,-176,3.31886,
-108,-176,3.08281,
-106,-176,2.86241,
-104,-176,2.6635,
-102,-176,2.49166,
-100,-176,2.35189,
-98,-176,2.24821,
-96,-176,2.18345,
-94,-176,2.15897,
-92,-176,2.17469,
-90,-176,2.22915,
-88,-176,2.31975,
-86,-176,2.44299,
-84,-176,2.59485,
-82,-176,2.77099,
-80,-176,2.967,
-78,-176,3.17858,
-76,-176,3.40162,
-74,-176,3.63222,
-72,-176,3.8668,
-70,-176,4.10202,
-68,-176,4.33482,
-66,-176,4.56241,
-64,-176,4.78226,
-62,-176,4.99211,
-60,-176,5.18998,
-58,-176,5.37413,
-56,-176,5.54313,
-54,-176,5.69584,
-52,-176,5.83137,
-50,-176,5.94918,
-48,-176,6.049,
-46,-176,6.13086,
-44,-176,6.19511,
-42,-176,6.24241,
-40,-176,6.2737,
-38,-176,6.29022,
-36,-176,6.29348,
-34,-176,6.28524,
-32,-176,6.2675,
-30,-176,6.24241,
-28,-176,6.21226,
-26,-176,6.17937,
-24,-176,6.14608,
-22,-176,6.1146,
-20,-176,6.08698,
-18,-176,6.06501,
-16,-176,6.05016,
-14,-176,6.04355,
-12,-176,6.0459,
-10,-176,6.05758,
-8,-176,6.07856,
-6,-176,6.10852,
-4,-176,6.14687,
-2,-176,6.1928,
0,-176,6.24538,
2,-176,6.30356,
4,-176,6.36626,
6,-176,6.43235,
8,-176,6.50072,
10,-176,6.57027,
12,-176,6.63988,
14,-176,6.70845,
16,-176,6.77487,
18,-176,6.83801,
20,-176,6.89674,
22,-176,6.94988,
24,-176,6.99626,
26,-176,7.03467,
28,-176,7.0639,
30,-176,7.08277,
32,-176,7.09011,
34,-176,7.0848,
36,-176,7.06579,
38,-176,7.03211,
40,-176,6.9829,
42,-176,6.91745,
44,-176,6.83519,
46,-176,6.73572,
48,-176,6.61888,
50,-176,6.4847,
52,-176,6.3335,
54,-176,6.16588,
56,-176,5.9828,
58,-176,5.78555,
60,-176,5.57586,
62,-176,5.35589,
64,-176,5.1283,
66,-176,4.89621,
68,-176,4.6633,
70,-176,4.43368,
72,-176,4.21189,
74,-176,4.00276,
76,-176,3.81124,
78,-176,3.64219,
80,-176,3.50008,
82,-176,3.38876,
84,-176,3.31116,
86,-176,3.26911,
88,-176,3.26322,
90,-176,3.29286,
92,-176,3.35631,
94,-176,3.45087,
96,-176,3.57315,
98,-176,3.71929,
100,-176,3.88516,
102,-176,4.06661,
104,-176,4.25953,
106,-176,4.46004,
108,-176,4.66447,
110,-176,4.86943,
112,-176,5.07183,
114,-176,5.26884,
116,-176,5.45796,
118,-176,5.63692,
120,-176,5.80376,
122,-176,5.95677,
124,-176,6.09451,
126,-176,6.21579,
128,-176,6.31969,
130,-176,6.40557,
132,-176,6.47304,
134,-176,6.52198,
136,-176,6.55255,
138,-176,6.56518,
140,-176,6.5606,
142,-176,6.53979,
144,-176,6.50402,
146,-176,6.45483,
148,-176,6.394,
150,-176,6.32353,
152,-176,6.24561,
154,-176,6.16257,
156,-176,6.07682,
158,-176,5.99077,
160,-176,5.90679,
162,-176,5.82708,
164,-176,5.75362,
166,-176,5.68811,
168,-176,5.63191,
170,-176,5.586,
172,-176,5.55099,
174,-176,5.52714,
176,-176,5.51435,
178,-176,5.51225,
180,-176,5.52024,
-180,-174,3.49361,
-178,-174,3.49288,
-176,-174,3.42282,
-174,-174,3.28407,
-172,-174,3.0767,
-170,-174,2.80018,
-168,-174,2.45343,
-166,-174,2.0348,
-164,-174,1.54203,
-162,-174,0.972251,
-160,-174,0.321887,
-158,-174,-0.413449,
-156,-174,-1.23915,
-154,-174,-2.16195,
-152,-174,-3.19041,
-150,-174,-4.33574,
-148,-174,-5.61296,
-146,-174,-7.04233,
-144,-174,-8.64997,
-142,-174,-10.4631,
-140,-174,-12.4807,
-138,-174,-14.5513,
-136,-174,-16.0472,
-134,-174,-15.9127,
-132,-174,-14.2168,
-130,-174,-12.0267,
-128,-174,-9.92026,
-126,-174,-8.02873,
-124,-174,-6.34857,
-122,-174,-4.85147,
-120,-174,-3.51059,
-118,-174,-2.30478,
-116,-174,-1.21793,
-114,-174,-0.23771,
-112,-174,0.645535,
-110,-174,1.43953,
-108,-174,2.15057,
-106,-174,2.78386,
-104,-174,3.34371,
-102,-174,3.83369,
-100,-174,4.25673,
-98,-174,4.6152,
-96,-174,4.91095,
-94,-174,5.14534,
-92,-174,5.3193,
-90,-174,5.43338,
-88,-174,5.48773,
-86,-174,5.48218,
-84,-174,5.41628,
-82,-174,5.28931,
-80,-174,5.10037,
-78,-174,4.84843,
-76,-174,4.53242,
-74,-174,4.15138,
-72,-174,3.70455,
-70,-174,3.19163,
-68,-174,2.61297,
-66,-174,1.96991,
-64,-174,1.26508,
-62,-174,0.502682,
-60,-174,-0.311415,
-58,-174,-1.16991,
-56,-174,-2.06503,
-54,-174,-2.99042,
-52,-174,-3.94415,
-50,-174,-4.93252,
-48,-174,-5.97408,
-46,-174,-7.10298,
-44,-174,-8.37071,
-42,-174,-9.8439,
-40,-174,-11.5849,
-38,-174,-13.5516,
-36,-174,-15.2141,
-34,-174,-15.1932,
-32,-174,-13.2098,
-30,-174,-10.675,
-28,-174,-8.35192,
-26,-174,-6.36827,
-24,-174,-4.6908,
-22,-174,-3.2674,
-20,-174,-2.05403,
-18,-174,-1.01694,
-16,-174,-0.130652,
-14,-174,0.624243,
-12,-174,1.26269,
-10,-174,1.79635,
-8,-174,2.23438,
-6,-174,2.58401,
-4,-174,2.85092,
-2,-174,3.0395,
0,-174,3.1531,
2,-174,3.19409,
4,-174,3.16405,
6,-174,3.06376,
8,-174,2.89331,
10,-174,2.65207,
12,-174,2.33874,
14,-174,1.95126,
16,-174,1.48681,
18,-174,0.941621,
20,-174,0.310859,
22,-174,-0.411723,
24,-174,-1.23422,
26,-174,-2.16732,
28,-174,-3.22538,
30,-174,-4.42823,
32,-174,-5.80382,
34,-174,-7.39208,
36,-174,-9.24911,
38,-174,-11.4436,
40,-174,-13.9968,
42,-174,-16.5274,
44,-174,-17.4137,
46,-174,-15.679,
48,-174,-13.108,
50,-174,-10.7578,
52,-174,-8.76132,
54,-174,-7.05937,
56,-174,-5.58523,
58,-174,-4.28929,
60,-174,-3.13717,
62,-174,-2.10515,
64,-174,-1.17658,
66,-174,-0.339463,
68,-174,0.415075,
70,-174,1.0938,
72,-174,1.70198,
74,-174,2.24381,
76,-174,2.72262,
78,-174,3.14105,
80,-174,3.50116,
82,-174,3.80448,
84,-174,4.05206,
86,-174,4.2445,
88,-174,4.38201,
90,-174,4.4644,
92,-174,4.49112,
94,-174,4.4613,
96,-174,4.37376,
98,-174,4.22706,
100,-174,4.01954,
102,-174,3.74938,
104,-174,3.41463,
106,-174,3.01335,
108,-174,2.5437,
110,-174,2.0041,
112,-174,1.39342,
114,-174,0.711257,
116,-174,-0.0418322,
118,-174,-0.864041,
120,-174,-1.75222,
122,-174,-2.70209,
124,-174,-3.70919,
126,-174,-4.77078,
128,-174,-5.88926,
130,-174,-7.07686,
132,-174,-8.3611,
134,-174,-9.7891,
136,-174,-11.4255,
138,-174,-13.3199,
140,-174,-15.3375,
142,-174,-16.6159,
144,-174,-15.7385,
146,-174,-13.2883,
148,-174,-10.677,
150,-174,-8.3728,
152,-174,-6.40947,
154,-174,-4.73774,
156,-174,-3.30666,
158,-174,-2.0759,
160,-174,-1.01502,
162,-174,-0.100981,
164,-174,0.683846,
166,-174,1.35321,
168,-174,1.91799,
170,-174,2.38686,
172,-174,2.76679,
174,-174,3.06341,
176,-174,3.2812,
178,-174,3.4237,
180,-174,3.49361,
-180,-172,4.18184,
-178,-172,4.08291,
-176,-172,3.93143,
-174,-172,3.72736,
-172,-172,3.46961,
-170,-172,3.15589,
-168,-172,2.78274,
-166,-172,2.34539,
-164,-172,1.83772,
-162,-172,1.25207,
-160,-172,0.57896,
-158,-172,-0.193248,
-156,-172,-1.07907,
-154,-172,-2.09693,
-152,-172,-3.27079,
-150,-172,-4.63266,
-148,-172,-6.22562,
-146,-172,-8.10499,
-144,-172,-10.3213,
-142,-172,-12.804,
-140,-172,-14.8685,
-138,-172,-14.8668,
-136,-172,-12.8349,
-134,-172,-10.4066,
-132,-172,-8.23139,
-130,-172,-6.36902,
-128,-172,-4.76757,
-126,-172,-3.37408,
-124,-172,-2.14957,
-122,-172,-1.0669,
-120,-172,-0.106889,
-118,-172,0.744722,
-116,-172,1.49929,
-114,-172,2.1665,
-112,-172,2.75511,
-110,-172,3.27324,
-108,-172,3.72854,
-106,-172,4.12809,
-104,-172,4.47828,
-102,-172,4.7846,
-100,-172,5.05144,
-98,-172,5.28195,
-96,-172,5.47792,
-94,-172,5.63979,
-92,-172,5.76668,
-90,-172,5.85653,
-88,-172,5.90627,
-86,-172,5.9119,
-84,-172,5.86866,
-82,-172,5.77115,
-80,-172,5.61332,
-78,-172,5.38853,
-76,-172,5.08954,
-74,-172,4.70842,
-72,-172,4.23657,
-70,-172,3.66464,
-68,-172,2.98255,
-66,-172,2.17959,
-64,-172,1.24478,
-62,-172,0.167743,
-60,-172,-1.05932,
-58,-172,-2.43747,
-56,-172,-3.95284,
-54,-172,-5.56191,
-52,-172,-7.17161,
-50,-172,-8.63046,
-48,-172,-9.77117,
-46,-172,-10.5131,
-44,-172,-10.9142,
-42,-172,-11.0821,
-40,-172,-11.0502,
-38,-172,-10.741,
-36,-172,-10.0449,
-34,-172,-8.95322,
-32,-172,-7.59521,
-30,-172,-6.14494,
-28,-172,-4.73336,
-26,-172,-3.43125,
-24,-172,-2.26695,
-22,-172,-1.24554,
-20,-172,-0.360936,
-18,-172,0.397584,
-16,-172,1.04224,
-14,-172,1.5852,
-12,-172,2.03787,
-10,-172,2.41048,
-8,-172,2.71195,
-6,-172,2.94973,
-4,-172,3.12971,
-2,-172,3.25623,
0,-172,3.332,
2,-172,3.35818,
4,-172,3.33441,
6,-172,3.25888,
8,-172,3.12841,
10,-172,2.93854,
12,-172,2.68352,
14,-172,2.3563,
16,-172,1.94837,
18,-172,1.44946,
20,-172,0.847004,
22,-172,0.125241,
